screen_name,created_at,text,retweet_count,favorite_count,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
elonmusk,2020-09-10T03:26:59Z,"@DisruptResearch Tesla is best understood as a collection of about a dozen startups, mostly in series, increasingly in parallel. Every product line &amp; new production system was invented. Instead of playing chess with the same pieces as everyone else, create new pieces.",1123,6752,DisruptResearch,,,Twitter for iPhone,en,1303897732487274497
elonmusk,2020-09-10T03:12:44Z,@DisruptResearch Tesla R&amp;D productivity is exceptionally good due to the caliber of engineering talent,172,2198,DisruptResearch,,,Twitter for iPhone,en,1303894146919403521
elonmusk,2020-09-09T21:09:06Z,Tesla Model S &amp; X have hospital-grade (HEPA) air filters. 3 &amp; Y are really good too. This has a big effect on health. https://t.co/48s5D3IfWs,2843,26920,,,,Twitter for iPhone,en,1303802636827799555
elonmusk,2020-09-09T20:31:54Z,@Klee_FilmReview !,743,27947,Klee_FilmReview,,,Twitter for iPhone,,1303793275141316608
elonmusk,2020-09-09T19:46:50Z,"RT @Teslarati: Tesla Energy ramps hiring at Giga New York for accelerated solar production
https://t.co/Iha2DREwu0",833,0,,Teslarati,,Twitter for iPhone,en,1303781933244178433
elonmusk,2020-09-09T17:25:55Z,@Techgnostik @RBReich Touché,197,6602,Techgnostik,,,Twitter for iPhone,fr,1303746469955096585
elonmusk,2020-09-09T17:15:12Z,"@RBReich All Tesla workers also get stock, so their compensation increased proportionately. You are a modern day moron.",7043,45387,RBReich,,,Twitter for iPhone,en,1303743774330441728
elonmusk,2020-09-09T16:50:22Z,RT @SpaceX: Onboard camera view of Falcon 9’s SAOCOM 1B launch and first stage land landing https://t.co/2IEZYiyYG5,3042,0,,SpaceX,,Twitter for iPhone,en,1303737522489626624
elonmusk,2020-09-09T03:04:18Z,@MstrOfUniverse @PPathole @EvaFoxU Yup,23,1103,MstrOfUniverse,,,Twitter for iPhone,,1303529636681269254
elonmusk,2020-09-09T01:39:33Z,@EvaFoxU 13,491,38698,EvaFoxU,,,Twitter for iPhone,,1303508309824081921
elonmusk,2020-09-09T00:47:59Z,"@Teslarati Rawlinson didn’t design Model S. Prototype was done before he joined &amp; he left us in the lurch just as things got tough, which was not cool. He did make some contributions to body/chassis engineering, but not to powertrain, battery, electronics or software.",573,9620,Teslarati,,,Twitter for iPhone,en,1303495330223198208
elonmusk,2020-09-09T00:40:54Z,@Erdayastronaut @PPathole @SpaceX We’re pretty close to the manufacturing size limit for a milled copper &amp; steel jacket nozzle. Lot of complexity to add a nozzle extension to a sea level engine for small gain. Also hard to fit bigger engine nozzles on the booster.,121,2973,Erdayastronaut,,,Twitter for iPhone,en,1303493547832668160
elonmusk,2020-09-08T16:53:54Z,A la guerre comme à la guerre,23986,152844,,,,Twitter for iPhone,fr,1303376024646889472
elonmusk,2020-09-07T22:59:17Z,@harsimranbansal Haha,58,4087,harsimranbansal,,,Twitter for iPhone,tl,1303105589283663872
elonmusk,2020-09-07T22:56:22Z,@BnOrdhaug And starts tweeting,192,8708,BnOrdhaug,,,Twitter for iPhone,en,1303104855993589762
elonmusk,2020-09-07T22:46:50Z,"If you bombard Earth with enough photons, eventually it emits a Tesla (AK)",6212,114080,,,,Twitter for iPhone,en,1303102454741958656
elonmusk,2020-09-07T10:54:53Z,@ID_AA_Carmack There is already bidirectional communication between human &amp; AI via phones &amp; computers. It’s just lossy &amp; very slow (especially output),637,11855,ID_AA_Carmack,,,Twitter for iPhone,en,1302923289312911361
elonmusk,2020-09-05T04:10:44Z,@Erdayastronaut @PPathole @SpaceX Above 50% likely to make it,122,4258,Erdayastronaut,,,Twitter for iPhone,en,1302096802687188993
elonmusk,2020-09-05T02:44:23Z,@PPathole @SpaceX This is a test engine. Flight articles are fixed with no gimbal.,85,2740,PPathole,,,Twitter for iPhone,en,1302075071398199296
elonmusk,2020-09-05T02:20:24Z,@SpaceX Worth noting that thrust is only slightly higher with the big bell nozzle version. Larger bell is primarily for efficiency in vacuum. Aiming for 380+ sec Isp for RVac long-term. Initially likely to be ~372.,866,22041,SpaceX,,,Twitter for iPhone,en,1302069036621033472
elonmusk,2020-09-05T00:27:29Z,"RT @SpaceX: The first Raptor Vacuum engine (RVac) for Starship has shipped from SpaceX’s rocket factory in Hawthorne, California to our development facility in McGregor, Texas https://t.co/xp2luf6XaI",7425,0,,SpaceX,,Twitter for iPhone,en,1302040623239712768
elonmusk,2020-09-04T18:21:48Z,@Tesmanian_com Yes,228,7596,Tesmanian_com,,,Twitter for iPhone,,1301948595776618496
elonmusk,2020-09-04T18:21:00Z,@skorusARK Chart understates lithium-ion potential by roughly 1/3,158,3333,skorusARK,,,Twitter for iPhone,en,1301948393393012737
elonmusk,2020-09-04T05:41:19Z,Model 3 rated as most reliable car https://t.co/26DAGJLTDY,2624,44031,,,,Twitter for iPhone,en,1301757211727757312
elonmusk,2020-09-04T05:02:34Z,Turns out you can make anything fly haha https://t.co/FJdHqRdVDb,15112,178505,,,,Twitter for iPhone,en,1301747460587560960
elonmusk,2020-09-04T04:55:29Z,@PPathole @CureVacRNA Exactly. This is not fully appreciated.,75,1592,PPathole,,,Twitter for iPhone,en,1301745679354728448
elonmusk,2020-09-03T23:40:01Z,"@austinbarnard45 Starship SN6 flew asimilar hop to SN5, but it was a much smoother &amp; faster operation",384,8982,austinbarnard45,,,Twitter for iPhone,en,1301666289249857537
